"Referrer source","Referrer name","Day","Landing page URL","Session device type","Online store visitors","Sessions"
"direct",,"2022-10-17","https://www.hensandhollyhocks.com/products/scallop-edge-dinner-plate","mobile",1,1
"search","google","2022-10-17","https://www.hensandhollyhocks.com/collections/crockery","desktop",1,1
"direct",,"2022-10-17","https://www.hensandhollyhocks.com/collections/cutlery","mobile",1,1
"search","google","2022-10-18","https://www.hensandhollyhocks.com/products/set-of-four-rattan-charger-plates-rustic-white","mobile",1,1
"direct",,"2022-10-18","https://www.hensandhollyhocks.com/pages/about-us","desktop",4,4
"direct",,"2022-10-18","https://www.hensandhollyhocks.com/","desktop",5,5
"direct",,"2022-10-18","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"direct",,"2022-10-18","https://www.hensandhollyhocks.com/products/underlay-garnet-marika-jug","desktop",1,1
"direct",,"2022-10-18","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"search","google","2022-10-18","https://www.hensandhollyhocks.com/products/five-piece-bamboo-flatware-set","desktop",1,1
"direct",,"2022-10-18","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"direct",,"2022-10-18","https://www.hensandhollyhocks.com/pages/contact-us","desktop",5,5
"search","google","2022-10-18","https://www.hensandhollyhocks.com/","desktop",2,2
"search","google","2022-10-18","https://www.hensandhollyhocks.com/products/scalloped-edge-rattan-tray","mobile",1,1
"direct",,"2022-10-19","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"search","google","2022-10-19","https://www.hensandhollyhocks.com/","desktop",2,2
"direct",,"2022-10-19","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"direct","hensandhollyhocks","2022-10-19","https://www.hensandhollyhocks.com/collections/placemats","desktop",1,1
"direct",,"2022-10-19","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"direct","hensandhollyhocks","2022-10-19","https://www.hensandhollyhocks.com/collections/table-linen","desktop",1,1
"search","google","2022-10-19","https://www.hensandhollyhocks.com/products/pagoda-lantern-bunnies-1","desktop",1,1
"search","google","2022-10-20","https://www.hensandhollyhocks.com/products/woven-heart-placemats-set-of-four","mobile",1,1
"search","google","2022-10-20","https://www.hensandhollyhocks.com/collections/tableware","other",1,1
"direct","hensandhollyhocks","2022-10-20","https://www.hensandhollyhocks.com/products/five-piece-bamboo-flatware-set","desktop",1,1
"direct",,"2022-10-20","https://www.hensandhollyhocks.com/collections/all?sort_by=best-selling","desktop",1,1
"search","google","2022-10-20","https://www.hensandhollyhocks.com/","desktop",1,1
"search","google","2022-10-20","https://www.hensandhollyhocks.com/collections/tablecloths","desktop",1,1
"social","instagram","2022-10-20","https://www.hensandhollyhocks.com/","mobile",2,2
"direct",,"2022-10-21","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"search","google","2022-10-21","https://www.hensandhollyhocks.com/products/set-of-four-tapered-candles-greens","tablet",1,1
"direct",,"2022-10-21","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"search","google","2022-10-21","https://www.hensandhollyhocks.com/products/scalloped-edge-rattan-tray","mobile",1,1
"direct",,"2022-10-21","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"search","google","2022-10-21","https://www.hensandhollyhocks.com/products/hobnail-glasses-dark-green-set-of-6","desktop",1,1
"direct",,"2022-10-21","https://www.hensandhollyhocks.com/","desktop",1,1
"direct",,"2022-10-22","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"direct",,"2022-10-22","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"direct",,"2022-10-22","https://www.hensandhollyhocks.com/","desktop",1,1
"direct",,"2022-10-22","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"social","facebook","2022-10-22","https://www.hensandhollyhocks.com/?fbclid=IwAR1vLNlF6rtZj0e99ZZe3sAVenmJNoKze8hFl6cR5r-xR6NkAfN7wxG5Tyg","desktop",1,1
"direct","hensandhollyhocks","2022-10-23","https://www.hensandhollyhocks.com/checkouts/c/c25c6112a2e1e0cb8ca44591a7b209a2/information","mobile",1,1
"social","facebook","2022-10-23","https://www.hensandhollyhocks.com/?fbclid=IwAR2h-Nspy4M7PkUhHJKEJpn7WPMym2UH5u5rrzw_WFOfnryKdywtU6JUTvo","desktop",1,1
"social","instagram","2022-10-23","https://www.hensandhollyhocks.com/","mobile",10,10
"direct",,"2022-10-23","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"direct",,"2022-10-23","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"search","google","2022-10-23","https://www.hensandhollyhocks.com/products/five-piece-tortoiseshell-flatware-set","desktop",1,1
"search","google","2022-10-23","https://www.hensandhollyhocks.com/products/set-of-four-oiseaux-de-paradis-dessert-plates","mobile",1,1
"search","google","2022-10-23","https://www.hensandhollyhocks.com/","desktop",2,2
"search","google","2022-10-23","https://www.hensandhollyhocks.com/products/set-of-four-tapered-candles-coral","mobile",1,1
"social","instagram","2022-10-23","https://www.hensandhollyhocks.com/?fbclid=PAAabaLe5b80tNOnCY32EhfD0ROUC07x-JKp14fJw5eWsV3fYzmv7DKdntbkc","mobile",1,1
"direct",,"2022-10-23","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"direct","hensandhollyhocks","2022-10-24","https://www.hensandhollyhocks.com/checkouts/c/c25c6112a2e1e0cb8ca44591a7b209a2/information","mobile",1,1
"social","instagram","2022-10-24","https://www.hensandhollyhocks.com/?fbclid=PAAaayHEPuuleld__E5nhhEsb2kJkIDn7aX9ZBsJrn9KiusFE_Vn9DIwsVDQ0","mobile",1,1
"search","bing","2022-10-24","https://www.hensandhollyhocks.com/","mobile",1,1
"social","instagram","2022-10-24","https://www.hensandhollyhocks.com/","tablet",1,1
"search","google","2022-10-24","https://www.hensandhollyhocks.com/collections/napkin-bows","desktop",1,1
"social","instagram","2022-10-24","https://www.hensandhollyhocks.com/?fbclid=PAAaaBuhgTOHPG6TTVYtOu25cLEXqe6_a8ie5YSzwLM9vvDiicG5DUG4eNXls","mobile",1,1
"search","google","2022-10-24","https://www.hensandhollyhocks.com/collections/hobnail-jugs","mobile",1,1
